Instance;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5 (meaningless but please still use it);Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Target;Target Class
1;57326;68791;82549;99059;72624;142645;171174;205409;246491;295789;1369233;Very Large Number
2;87859;105431;126517;151820;19982;218621;262345;314814;377777;453332;2098516;Very Large Number
3;23721;28465;34158;40990;20054;59026;70831;84997;101996;122395;566579;Very Large Number
4;24771;29725;35670;42804;7775;61638;73966;88759;106511;127813;591657;Very Large Number
5;47862;57434;68921;82705;60872;119095;142914;171497;205796;246955;1143179;Very Large Number
6;35286;42343;50812;60974;51392;87803;105364;126437;151724;182069;842812;Very Large Number
7;14070;16884;20261;24313;1509;35011;42013;50416;60499;72599;336066;Large Number
8;34018;40822;48986;58783;38750;84648;101578;121894;146273;175528;812530;Very Large Number
9;36379;43655;52386;62863;29843;90523;108628;130354;156425;187710;868923;Very Large Number
10;25867;31040;37248;44698;92630;64366;77239;92687;111224;133469;617838;Very Large Number
11;12715;15258;18310;21972;45037;31639;37967;45560;54672;65606;303699;Large Number
12;97319;116783;140140;168168;44705;242162;290594;348713;418456;502147;2324482;Very Large Number
13;16026;19231;23077;27692;85356;39876;47851;57421;68905;82686;382765;Large Number
14;35459;42551;51061;61273;93266;88234;105881;127057;152468;182962;846946;Very Large Number
15;43736;52483;62980;75576;39017;108829;130595;156714;188057;225668;1044638;Very Large Number
16;32704;39245;47094;56513;31553;81379;97655;117186;140623;168748;781147;Very Large Number
17;38120;45744;54893;65872;9189;94855;113826;136591;163909;196691;910501;Very Large Number
18;61811;74173;89008;106810;37206;153806;184567;221480;265776;318931;1476362;Very Large Number
19;72119;86543;103852;124622;2191;179455;215346;258415;310098;372118;1722568;Very Large Number
20;99219;119063;142876;171451;96357;246889;296267;355520;426624;511949;2369858;Very Large Number
21;66678;80014;96017;115220;3136;165917;199100;238920;286704;344045;1592615;Very Large Number
22;18097;21716;26059;31271;67410;45030;54036;64843;77812;93374;432238;Large Number
23;50336;60403;72484;86981;21061;125252;150302;180362;216434;259721;1202275;Very Large Number
24;91185;109422;131306;157567;16049;226896;272275;326730;392076;470491;2177948;Very Large Number
25;23861;28633;34360;41232;15949;59374;71249;85499;102599;123119;569926;Very Large Number
26;26066;31279;37535;45042;41631;64860;77832;93398;112078;134494;622584;Very Large Number
27;72817;87380;104856;125827;17717;181190;217428;260914;313097;375716;1739225;Very Large Number
28;84499;101399;121679;146015;81847;210262;252314;302777;363332;435998;2018275;Very Large Number
29;63853;76624;91949;110339;43015;158888;190666;228799;274559;329471;1525148;Very Large Number
30;8106;9727;11672;14006;17119;20168;24202;29042;34850;41820;193593;Large Number
31;46755;56106;67327;80792;91054;116340;139608;167530;201036;241243;1116737;Very Large Number
32;56738;68086;81703;98044;9622;141184;169421;203305;243966;292759;1355206;Very Large Number
33;77602;93122;111746;134095;15559;193097;231716;278059;333671;400405;1853513;Very Large Number
34;93400;112080;134496;161395;48358;232409;278891;334669;401603;481924;2230867;Very Large Number
35;25056;30067;36080;43296;20960;62346;74815;89778;107734;129281;598453;Very Large Number
36;84929;101915;122298;146758;21597;211332;253598;304318;365182;438218;2028548;Very Large Number
37;14817;17780;21336;25603;12322;36869;44243;53092;63710;76452;353902;Large Number
38;9654;11585;13902;16682;99013;24022;28826;34591;41509;49811;230582;Large Number
39;76509;91811;110173;132208;57993;190380;228456;274147;328976;394771;1827431;Very Large Number
40;39606;47527;57032;68438;34092;98551;118261;141913;170296;204355;945979;Very Large Number
41;27281;32737;39284;47141;58621;67883;81460;97752;117302;140762;651602;Very Large Number
42;96163;115396;138475;166170;15329;239285;287142;344570;413484;496181;2296866;Very Large Number
43;40743;48892;58670;70404;78878;101382;121658;145990;175188;210226;973153;Very Large Number
44;30734;36881;44257;53108;42864;76476;91771;110125;132150;158580;734082;Very Large Number
45;10063;12076;14491;17389;54545;25040;30048;36058;43270;51924;240359;Large Number
46;83784;100541;120649;144779;84387;208482;250178;300214;360257;432308;2001192;Very Large Number
47;50472;60566;72679;87215;45828;125590;150708;180850;217020;260424;1205524;Very Large Number
48;70663;84796;101755;122106;49699;175832;210998;253198;303838;364606;1687792;Very Large Number
49;12755;15306;18367;22040;66373;31738;38086;45703;54844;65813;304652;Large Number
50;25009;30011;36013;43216;65148;62231;74677;89612;107534;129041;597344;Very Large Number
